Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Evaluating performance degradation due to block size increase in 3D NAND-based SSDs,Evaluating performance degradation due to block size increase in 3D NAND-based SSDs,,569,439.527654,4,0.636066,0.734608,0.001863,3
Willingness to pay price premium for smartphones produced using renewable energy,Willingness to pay price premium for smartphones produced using renewable energy,,718,571.746278,4,0.705455,0.802978,0.001768,1
A dual-response sensor based on NBD for the highly selective determination of sulfide in living cells and zebrafish,A dual-response sensor based on NBD for the highly selective determination of sulfide in living cells and zebrafish,,744,594.672717,4,0.713235,0.813001,0.002046,1
A 1-D tightly coupled dipole array for broadband mmwave communication,A 1-D tightly coupled dipole array for broadband mmwave communication,,619,482.028772,4,0.658744,0.757875,0.002205,3
Synergistic effects of sanghuang–danshen bioactives on arterial stiffness in a randomized clinical trial of healthy smokers: An integrative approach to in silico network analysis,Synergistic effects of sanghuang–danshen bioactives on arterial stiffness in a randomized clinical trial of healthy smokers: An integrative approach to in silico network analysis,,664,521.159122,4,0.674392,0.776704,0.002783,3
A compact wireless power transfer system at 915 MHz with supercapacitor for optogenetics applications,A compact wireless power transfer system at 915 MHz with supercapacitor for optogenetics applications,,725,574.624703,4,0.70674,0.805412,0.001989,1
Improved interfacial properties of thermal atomic layer deposited AlN on GaN,Improved interfacial properties of thermal atomic layer deposited AlN on GaN,,532,407.959012,4,0.61882,0.71671,0.000483,3
Direct Alcohol-Fueled Low-Temperature Solid Oxide Fuel Cells: A Review,Direct Alcohol-Fueled Low-Temperature Solid Oxide Fuel Cells: A Review,,751,600.405804,4,0.718519,0.816724,0.002214,1
Tangible social content service system: making digital technology easier to use by elderly and its usability evaluation,Tangible social content service system: making digital technology easier to use by elderly and its usability evaluation,,776,625.180504,4,0.732075,0.828179,0.002937,1
The effects of cobalt phthalocyanine and polyacrylic acid on the reactivity of hydrogen peroxide oxidation reaction and the performance of hydrogen peroxide fuel cell,The effects of cobalt phthalocyanine and polyacrylic acid on the reactivity of hydrogen peroxide oxidation reaction and the performance of hydrogen peroxide fuel cell,,203,148.501816,5,0.502808,0.560911,0.000015,1
ALD growth of ZnO on p-Si and electrical characterization of ZnO/p-Si heterojunctions,ALD growth of ZnO on p-Si and electrical characterization of ZnO/p-Si heterojunctions,,449,339.647625,4,0.586398,0.678121,0.00011,3
Comparison of ensembles projections of rainfall from four bias correction methods over nigeria,Comparison of ensembles projections of rainfall from four bias correction methods over nigeria,,605,470.979212,4,0.649916,0.750501,0.000568,3
Technology fusion characteristics in the solar photovoltaic industry of south korea: A patent network analysis using ipc co-occurrence,Technology fusion characteristics in the solar photovoltaic industry of south korea: A patent network analysis using ipc co-occurrence,,580,447.042441,4,0.640264,0.739476,0.00105,3
Visual surveillance using background model image generated by GAN,Visual surveillance using background model image generated by GAN,,569,437.723508,4,0.639209,0.735825,0.00067,3
Estimation of water-use rates based on hydro-meteorological variables using deep belief network,Estimation of water-use rates based on hydro-meteorological variables using deep belief network,,503,383.052619,4,0.609105,0.704181,0.000436,3
Improving the stability of lycopene from chemical degradation in model beverage emulsions: Impact of hydrophilic group size of emulsifier and antioxidant polarity,Improving the stability of lycopene from chemical degradation in model beverage emulsions: Impact of hydrophilic group size of emulsifier and antioxidant polarity,,366,274.748537,4,0.556938,0.639318,0.000054,3
Blockchain-based cyber threat intelligence system architecture for sustainable computing,Blockchain-based cyber threat intelligence system architecture for sustainable computing,,530,404.999488,4,0.616852,0.715278,0.000812,3
On the oxygen vacancies optimization through Pr co-doping of ceria-based electrolytes for electrolyte-supported solid oxide fuel cells,On the oxygen vacancies optimization through Pr co-doping of ceria-based electrolytes for electrolyte-supported solid oxide fuel cells,,345,257.288668,4,0.546736,0.627792,0.000016,3
"Physical activity, health and well-being in an imposed social distanced world","Physical activity, health and well-being in an imposed social distanced world",,544,419.145229,4,0.624799,0.722795,0.000271,3
Serine protease in a bred variety of oriental melon (Cucumis melo L. var. makuwa) curtails vascular thrombosis by balancing hemostasis and fibrinolysis in a rodent model,Serine protease in a bred variety of oriental melon (Cucumis melo L. var. makuwa) curtails vascular thrombosis by balancing hemostasis and fibrinolysis in a rodent model,,527,404.278439,4,0.613924,0.713202,0.000377,3
Evaluation method of relative humidity changes in below-grade concrete structure space depending on different waterproofing material and installation method,Evaluation method of relative humidity changes in below-grade concrete structure space depending on different waterproofing material and installation method,,297,221.043058,5,0.53175,0.605727,0.00002,3
"Radiative Dirac neutrino mass, neutrinoless quadruple beta decay, and dark matter in B-L extension of the standard model","Radiative Dirac neutrino mass, neutrinoless quadruple beta decay, and dark matter in B-L extension of the standard model",,519,398.447971,4,0.615547,0.711555,0.000747,3
The impacts of diversity on team innovation and the moderating effects of cooperative team culture,The impacts of diversity on team innovation and the moderating effects of cooperative team culture,,658,516.577133,4,0.672832,0.774413,0.001168,3
"Prediction of concrete strength with P-, S-, R-wave velocities by support vector machine (SVM) and artificial neural network (ANN)","Prediction of concrete strength with P-, S-, R-wave velocities by support vector machine (SVM) and artificial neural network (ANN)",,520,398.451798,4,0.611345,0.710052,0.000194,3
Sodium dodecyl sulfate mediated microwave synthesis of biocompatible superparamagnetic mesoporous hydroxyapatite nanoparticles using black Chlamys varia seashell as a calcium source for biomedical applications,Sodium dodecyl sulfate mediated microwave synthesis of biocompatible superparamagnetic mesoporous hydroxyapatite nanoparticles using black Chlamys varia seashell as a calcium source for biomedical applications,,536,412.269845,4,0.6208,0.718714,0.000589,3
Si Surface Passivation by Atomic Layer Deposited Al2O3 with In-Situ H2O Prepulse Treatment,Si Surface Passivation by Atomic Layer Deposited Al2O3 with In-Situ H2O Prepulse Treatment,,284,211.327167,5,0.525983,0.598568,0.000061,1
Simple and rapid detection of bisphenol A using a gold nanoparticle-based colorimetric aptasensor,Simple and rapid detection of bisphenol A using a gold nanoparticle-based colorimetric aptasensor,,539,413.624017,5,0.619478,0.719273,0.000652,3
"Colorimetric Detection of Co2+, Cu2+, and Zn2+ by a Multifunctional Chemosensor in Aqueous Solution","Colorimetric Detection of Co2+, Cu2+, and Zn2+ by a Multifunctional Chemosensor in Aqueous Solution",,529,404.449435,4,0.617179,0.715206,0.000421,3
A Study for Selecting the Best One-Stage Detector for Autonomous Driving,A Study for Selecting the Best One-Stage Detector for Autonomous Driving,,301,223.043808,4,0.532479,0.607102,0.000007,3
Loan relation with foreign banks and information asymmetry: evidence from earnings management by local firms in Korea,Loan relation with foreign banks and information asymmetry: evidence from earnings management by local firms in Korea,,670,524.204237,4,0.681898,0.781071,0.001126,3
Synthesis of submicrometre Cu particles via a reduction in triethanolamine solvent,Synthesis of submicrometre Cu particles via a reduction in triethanolamine solvent,,371,278.422269,5,0.554814,0.639877,0.000512,3
pH Dependent swelling behavior of poly(2-hydroxyethyl methacrylate)-based copolymer hydrogels,pH Dependent swelling behavior of poly(2-hydroxyethyl methacrylate)-based copolymer hydrogels,,398,298.951868,4,0.567528,0.654066,0.000037,3
Predictions of tensile strain capacity for strain-based pipelines with a circumferential and internal surface flaw,Predictions of tensile strain capacity for strain-based pipelines with a circumferential and internal surface flaw,,701,551.900135,4,0.693683,0.794101,0.002561,1
A hydrazono-quinoline-based chemosensor sensing In3+ and Zn2+: Via fluorescence turn-on and ClO- via color change in aqueous solution,A hydrazono-quinoline-based chemosensor sensing In3+ and Zn2+: Via fluorescence turn-on and ClO- via color change in aqueous solution,,551,421.975594,4,0.625134,0.724871,0.000344,3
What do potential residents really want when hosting a nuclear power plant? An empirical study of economic incentives in South Korea,What do potential residents really want when hosting a nuclear power plant? An empirical study of economic incentives in South Korea,,658,516.128466,4,0.674392,0.774914,0.001922,3
An accurate weight binarization scheme for CNN object detectors with two scaling factors,An accurate weight binarization scheme for CNN object detectors with two scaling factors,,4,3.052816,5,0.422658,0.443056,0,3
A study on the development of assessment index for catastrophic incident warning sign at refinery and pertrochemical plants,A study on the development of assessment index for catastrophic incident warning sign at refinery and pertrochemical plants,,429,324.016932,4,0.580838,0.669745,0.000333,3
Dielectric property characterisation of thin films based on iterative comparisons of fullwave simulations and measurements,Dielectric property characterisation of thin films based on iterative comparisons of fullwave simulations and measurements,,46,32.926635,5,0.457727,0.483519,0.000012,1
Comparative evaluation of reliability assessment methods of power modules in motor drive inverter,Comparative evaluation of reliability assessment methods of power modules in motor drive inverter,,83,59.772996,5,0.466159,0.50116,0.000023,1
Analysis of springback characteristics of magnesium alloy sheet (AZ31B) considering time-dependence in warm bending,Analysis of springback characteristics of magnesium alloy sheet (AZ31B) considering time-dependence in warm bending,,340,254.359548,5,0.54418,0.625129,0.001936,3
Cognitive scenario generation computing in the Internet of things for enterprise information systems,Cognitive scenario generation computing in the Internet of things for enterprise information systems,,441,335.326428,4,0.583459,0.674255,0.000126,3
Adaptive fail-safe yaw moment control for integrated chassis control using least mean square,Adaptive fail-safe yaw moment control for integrated chassis control using least mean square,,9,6.520078,5,0.437101,0.456372,0,1
Development and validation of deep learning-based automatic detection algorithm for malignant pulmonary nodules on chest radiographs,Development and validation of deep learning-based automatic detection algorithm for malignant pulmonary nodules on chest radiographs,,460,348.491895,4,0.589069,0.682489,0.000108,3
Mesoporous Mg-doped hydroxyapatite nanorods prepared from bio-waste blue mussel shells for implant applications,Mesoporous Mg-doped hydroxyapatite nanorods prepared from bio-waste blue mussel shells for implant applications,,1,0.754995,7,0.261397,0.269432,0,5
Treatments of the singularity in the level set method for unstructured meshes,Treatments of the singularity in the level set method for unstructured meshes,,3,2.254907,6,0.353799,0.373855,0.001531,5
Hydrogenerated black titanium dioxide-embedded conducting polymer for boosting electron flow in perovskite devices,Hydrogenerated black titanium dioxide-embedded conducting polymer for boosting electron flow in perovskite devices,,42,30.029114,5,0.454865,0.480541,0.000071,1
Real and synthetic data sets for benchmarking key-value stores focusing on various data types and sizes,Real and synthetic data sets for benchmarking key-value stores focusing on various data types and sizes,,7,5.21297,5,0.396863,0.420175,0.001532,0
Interfacial and electrical properties of nanolaminated HfO2/Al2O3 dielectrics on GaN with an AlN interlayer,Interfacial and electrical properties of nanolaminated HfO2/Al2O3 dielectrics on GaN with an AlN interlayer,,528,404.844604,4,0.617834,0.715206,0.001197,3
Floor vibration experiment and serviceability test of iFLASH system,Floor vibration experiment and serviceability test of iFLASH system,,400,302.902193,4,0.565049,0.653351,0.000125,3
A Feasible and Holistic Characterization of an Affordable Anti-Fog Coating Enhancing Readability,A Feasible and Holistic Characterization of an Affordable Anti-Fog Coating Enhancing Readability,,402,305.675439,4,0.56975,0.656429,0.000192,3
Anti-oxidant copper layer by remote mode N2 plasma for low temperature copper–copper bonding,Anti-oxidant copper layer by remote mode N2 plasma for low temperature copper–copper bonding,,209,153.627553,5,0.501508,0.561841,0.001532,1
Analysis on the effects of external temperature and welding speed on the safety of EVA waterproofing sheet joints by hot air welding,Analysis on the effects of external temperature and welding speed on the safety of EVA waterproofing sheet joints by hot air welding,,366,274.399669,5,0.555609,0.638875,0.00168,3
Water-soluble carbon quantum dots modified by amino groups for polarization fluorescence detection of copper (Ii) ion in aqueous media,Water-soluble carbon quantum dots modified by amino groups for polarization fluorescence detection of copper (Ii) ion in aqueous media,,129,93.954365,5,0.479604,0.523897,0.000585,1
Dielectrophoretic Manipulation of Janus Particle in Conductive Media for Biomedical Applications,Dielectrophoretic Manipulation of Janus Particle in Conductive Media for Biomedical Applications,,391,293.509051,4,0.566975,0.651775,0.000174,3
Public preference toward an energy transition policy: the case of South Korea,Public preference toward an energy transition policy: the case of South Korea,,332,246.925859,5,0.54418,0.622838,0.001646,3
"Estimation of daily intake of lycopene, antioxidant contents and activities from tomatoes, watermelons, and their processed products in Korea","Estimation of daily intake of lycopene, antioxidant contents and activities from tomatoes, watermelons, and their processed products in Korea",,522,399.937812,4,0.616199,0.712629,0.000233,3
Flat Yarn Fabric Substrates for Screen-Printed Conductive Textiles,Flat Yarn Fabric Substrates for Screen-Printed Conductive Textiles,,291,214.873974,4,0.530296,0.603021,0.0015,1
A conjugated Schiff base-based chemosensor for selectively detecting mercury ion,A conjugated Schiff base-based chemosensor for selectively detecting mercury ion,,579,447.634908,4,0.637459,0.738044,0.000331,3
Multifunctional electrochromic energy storage devices by chemical cross-linking: impact of a WO3·H2O nanoparticle-embedded chitosan thin film on amorphous WO3 films,Multifunctional electrochromic energy storage devices by chemical cross-linking: impact of a WO3·H2O nanoparticle-embedded chitosan thin film on amorphous WO3 films,,341,254.603281,5,0.545455,0.626203,0.00006,3
Comparative Study of the Effects of Light Controlled Germination Conditions on Saponarin Content in Barley Sprouts and Lipid Accumulation Suppression in HepG2 Hepatocyte and 3T3-L1 Adipocyte Cells Using Barley Sprout Extracts,Comparative Study of the Effects of Light Controlled Germination Conditions on Saponarin Content in Barley Sprouts and Lipid Accumulation Suppression in HepG2 Hepatocyte and 3T3-L1 Adipocyte Cells Using Barley Sprout Extracts,,269,198.124493,5,0.520805,0.591194,0.00001,1
Energy saving of a university building using a motion detection sensor and room management system,Energy saving of a university building using a motion detection sensor and room management system,,5,3.765455,5,0.400138,0.42205,0.001532,20
Rapid production of dried sea cucumber (stichopus japonicus) using infrared assisted freeze drying (IRAFD),Rapid production of dried sea cucumber (stichopus japonicus) using infrared assisted freeze drying (IRAFD),,362,271.246354,4,0.553758,0.636455,0.000764,3
Defect detection of solar panel using CNN,Defect detection of solar panel using CNN,,438,332.438242,4,0.581419,0.672537,0.00257,3
Comprehensive Analysis of a Cu Nitride Passivated Surface That Enhances Cu-to-Cu Bonding,Comprehensive Analysis of a Cu Nitride Passivated Surface That Enhances Cu-to-Cu Bonding,,458,349.107022,4,0.590264,0.682489,0.000267,3
Particle focusing under newtonian and viscoelastic flow in a straight rhombic microchannel,Particle focusing under newtonian and viscoelastic flow in a straight rhombic microchannel,,393,295.737578,4,0.568637,0.653136,0.002171,3
Accelerating the oxygen reduction reaction and oxygen evolution reaction activities of n and p co-doped porous activated carbon for li-o2 batteries,Accelerating the oxygen reduction reaction and oxygen evolution reaction activities of n and p co-doped porous activated carbon for li-o2 batteries,,218,160.189244,5,0.507411,0.567998,0.000348,1
Mitochondrial DNA lesions and copy number are strain dependent in endurance-trained mice,Mitochondrial DNA lesions and copy number are strain dependent in endurance-trained mice,,265,196.94808,4,0.520805,0.589705,0.000457,1
Serendipity adjustable application recommendation via joint disentangled recurrent variational auto-encoder,Serendipity adjustable application recommendation via joint disentangled recurrent variational auto-encoder,,397,299.137773,5,0.5645,0.652549,0.000775,3
Predicting mobile trading system discontinuance: The role of attention,Predicting mobile trading system discontinuance: The role of attention,,369,277.672099,4,0.557738,0.640607,0.000285,3
Recent Progress in Self-healing Materials for Sensor Arrays,Recent Progress in Self-healing Materials for Sensor Arrays,,242,178.259842,5,0.513907,0.579095,0.000327,1
Extraction and prioritization of product attributes using an explainable neural network,Extraction and prioritization of product attributes using an explainable neural network,,384,289.698536,4,0.561776,0.64705,0.000517,3
In situ carbon felt anode modification via codeveloping Saccharomyces cerevisiae living-template titanium dioxide nanoclusters in a yeast-based microbial fuel cell,In situ carbon felt anode modification via codeveloping Saccharomyces cerevisiae living-template titanium dioxide nanoclusters in a yeast-based microbial fuel cell,,200,146.460503,4,0.499571,0.557847,0.000017,1
Enhancements in catalytic activity and duration of PdFe bimetallic catalysts and their use in direct formic acid fuel cells,Enhancements in catalytic activity and duration of PdFe bimetallic catalysts and their use in direct formic acid fuel cells,,314,235.092882,4,0.5369,0.613259,0.00002,3
Current Mode Neuromorphic Implementation using Current Memory,Current Mode Neuromorphic Implementation using Current Memory,,262,194.112852,5,0.519875,0.58876,0.000005,1
Design of 32-bit Processor for Embedded Systems,Design of 32-bit Processor for Embedded Systems,,430,324.217435,4,0.579104,0.669029,0.000909,3
Fabrication method of multi-depth circular microchannels for investigating arterial thrombosis-on-a-chip,Fabrication method of multi-depth circular microchannels for investigating arterial thrombosis-on-a-chip,,514,396.482762,4,0.6136,0.709264,0.000382,3
Accelerating lithium storage capability of cobalt sulfide encapsulated within anion dual-doped mesoporous carbon nanofibers,Accelerating lithium storage capability of cobalt sulfide encapsulated within anion dual-doped mesoporous carbon nanofibers,,550,422.484915,4,0.627155,0.725301,0.004872,3
All iron aqueous redox flow batteries using organometallic complexes consisting of iron and 3-[bis (2-hydroxyethyl)amino]-2-hydroxypropanesulfonic acid ligand and ferrocyanide as redox couple,All iron aqueous redox flow batteries using organometallic complexes consisting of iron and 3-[bis (2-hydroxyethyl)amino]-2-hydroxypropanesulfonic acid ligand and ferrocyanide as redox couple,,385,290.105341,4,0.560694,0.646764,0.000265,3
Visual surveillance using deep reinforcement learning,Visual surveillance using deep reinforcement learning,,333,249.006484,4,0.544689,0.623139,0.001765,3
Auxiliary Power Module - Integrated EV Charger with Extended ZVS range,Auxiliary Power Module - Integrated EV Charger with Extended ZVS range,,287,213.459053,4,0.527174,0.599943,0.001139,1
Pt-Ru Alloy Catalysts with Doped CeO2 Interlayer for Methane Conversion,Pt-Ru Alloy Catalysts with Doped CeO2 Interlayer for Methane Conversion,,345,259.51418,4,0.549316,0.629152,0.000327,3
Application of non-destructive rapid determination of piperine in piper nigrum l. (black pepper) using nir and multivariate statistical analysis: A promising quality control tool,Application of non-destructive rapid determination of piperine in piper nigrum l. (black pepper) using nir and multivariate statistical analysis: A promising quality control tool,,316,235.415774,4,0.54039,0.615979,0.000809,1
Self-crosslinking hyaluronic acid-carboxymethylcellulose hydrogel enhances multilayered 3D-printed construct shape integrity and mechanical stability for soft tissue engineering,Self-crosslinking hyaluronic acid-carboxymethylcellulose hydrogel enhances multilayered 3D-printed construct shape integrity and mechanical stability for soft tissue engineering,,334,249.731754,4,0.54725,0.624857,0.000352,3
Plastic Limit Pressure Solutions for Elbows with Slant Through-Wall Cracks,Plastic Limit Pressure Solutions for Elbows with Slant Through-Wall Cracks,,371,279.001673,4,0.559885,0.642325,0.001588,3
Feasibility of rapid piperine quantification in whole and black pepper using near infrared spectroscopy and chemometrics,Feasibility of rapid piperine quantification in whole and black pepper using near infrared spectroscopy and chemometrics,,365,273.264335,4,0.555344,0.638173,0.001112,3
A Unique Thiosemicarbazide-Based Colorimetric Chemosensor for Fe2+ in Pure Aqueous Solution with the Lowest Detection Limit,A Unique Thiosemicarbazide-Based Colorimetric Chemosensor for Fe2+ in Pure Aqueous Solution with the Lowest Detection Limit,,347,259.129844,4,0.546479,0.628222,0.000013,3
The validity and reliability of the Malay version of the social support for exercise and physical environment for physical activity scales,The validity and reliability of the Malay version of the social support for exercise and physical environment for physical activity scales,,319,236.540376,4,0.541899,0.617554,0.000026,3
Design and characterization of VHF band small antenna using CRLH transmission line and non-foster matching circuit,Design and characterization of VHF band small antenna using CRLH transmission line and non-foster matching circuit,,334,250.007408,4,0.543164,0.622637,0.000313,3
Exclusive Heavy Quark Dijet Cross Section,Exclusive Heavy Quark Dijet Cross Section,,318,237.013406,4,0.5369,0.614476,0.000026,3
A new text classification model based on contrastive word embedding for detecting cybersecurity intelligence in twitter,A new text classification model based on contrastive word embedding for detecting cybersecurity intelligence in twitter,,508,386.951944,4,0.611345,0.706544,0.002259,3
Section design of a hydroponic cultivation vessel using topology optimization,Section design of a hydroponic cultivation vessel using topology optimization,,359,269.078056,4,0.551397,0.634235,0.000031,3
Projection of Potential Evapotranspiration for North Korea Based on Selected GCMs by TOPSIS,Projection of Potential Evapotranspiration for North Korea Based on Selected GCMs by TOPSIS,,253,186.275347,5,0.517104,0.584178,0.000005,1
A Gradient-Aware Line Sampling Algorithm for LiDAR Scanners,A Gradient-Aware Line Sampling Algorithm for LiDAR Scanners,,338,251.76135,5,0.546222,0.625702,0.000031,3
"Future trends of iot, 5G mobile networks, and AI: Challenges, opportunities, and solutions","Future trends of iot, 5G mobile networks, and AI: Challenges, opportunities, and solutions",,376,284.156164,4,0.559346,0.643399,0.000036,3
Inhibition of droplet growth in model beverage emulsions stabilized using poly (ethylene glycol) alkyl ether surfactants having various hydrophilic head sizes: Impact of ester gum,Inhibition of droplet growth in model beverage emulsions stabilized using poly (ethylene glycol) alkyl ether surfactants having various hydrophilic head sizes: Impact of ester gum,,406,306.687064,4,0.571429,0.65829,0.000054,3
Distributed cell clustering based on multi-layer message passing for downlink joint processing coordinated multipoint transmission,Distributed cell clustering based on multi-layer message passing for downlink joint processing coordinated multipoint transmission,,430,325.585122,4,0.580838,0.669817,0.003685,3
Boosting Ultrafast Lithium Storage Capability of Hierarchical Core/Shell Constructed Carbon Nanofiber/3D Interconnected Hybrid Network with Nanocarbon and FTO Nanoparticle Heterostructures,Boosting Ultrafast Lithium Storage Capability of Hierarchical Core/Shell Constructed Carbon Nanofiber/3D Interconnected Hybrid Network with Nanocarbon and FTO Nanoparticle Heterostructures,,123,88.93969,5,0.479407,0.521821,0,1
Phase transformation of NiCo hydroxides derived from carbonate anion and its effect on electrochemical pseudocapacitor performance,Phase transformation of NiCo hydroxides derived from carbonate anion and its effect on electrochemical pseudocapacitor performance,,414,313.317305,4,0.572271,0.661082,0.000534,3
Membraneless biofuel cells using new cathodic catalyst including hemin bonded with amine functionalized carbon nanotube and glucose oxidase sandwiched by poly(dimethyl-diallylammonium chloride),Membraneless biofuel cells using new cathodic catalyst including hemin bonded with amine functionalized carbon nanotube and glucose oxidase sandwiched by poly(dimethyl-diallylammonium chloride),,413,311.2037,4,0.571709,0.66051,0.00018,3
The Winning Probability of a Game and the Importance of Points in Tennis Matches,The Winning Probability of a Game and the Importance of Points in Tennis Matches,,403,305.414219,4,0.568637,0.656143,0.001452,3
Recent advances in the characterization and the treatment methods of effluent organic matter,Recent advances in the characterization and the treatment methods of effluent organic matter,,428,324.097009,4,0.577954,0.667884,0.000751,3
Effect of oxygen source on the various properties of SnO2 thin films deposited by plasma-enhanced atomic layer deposition,Effect of oxygen source on the various properties of SnO2 thin films deposited by plasma-enhanced atomic layer deposition,,292,215.731414,4,0.529813,0.602878,0.000419,1
Improvements of design for safety in construction through multi-participants perception analysis,Improvements of design for safety in construction through multi-participants perception analysis,,313,233.193979,4,0.540139,0.614977,0.000041,3
Estimation of tensile strain capacity for thin-walled API X70 pipeline with corrosion defects using the fracture strain criteria,Estimation of tensile strain capacity for thin-walled API X70 pipeline with corrosion defects using the fracture strain criteria,,323,241.336678,4,0.540139,0.617769,0.000136,1
Investigation on the effect of density ratio on the convergence behavior of partitioned method for fluid–structure interaction simulation,Investigation on the effect of density ratio on the convergence behavior of partitioned method for fluid–structure interaction simulation,,245,179.880309,5,0.513228,0.579668,0.000023,1
Blockchain technology toward green IoT: Opportunities and challenges,Blockchain technology toward green IoT: Opportunities and challenges,,215,158.042729,5,0.506748,0.566924,0.001239,1
Waiting Time Minimized Charging and Discharging Strategy Based on Mobile Edge Computing Supported by Software-Defined Network,Waiting Time Minimized Charging and Discharging Strategy Based on Mobile Edge Computing Supported by Software-Defined Network,,372,278.226463,4,0.558273,0.641681,0.000024,3
Nucleation and growth behavior of aluminum nitride film using thermal atomic layer deposition,Nucleation and growth behavior of aluminum nitride film using thermal atomic layer deposition,,441,336.387048,4,0.581419,0.673325,0.001015,3
Relationship between alcohol consumption and drinking refusal self-efficacy among university students: The roles of sports type and gender,Relationship between alcohol consumption and drinking refusal self-efficacy among university students: The roles of sports type and gender,,102,73.889809,5,0.472786,0.511154,0.000002,1
Households' willingness to pay for substituting natural gas with renewable methane: A contingent valuation experiment in south korea,Households' willingness to pay for substituting natural gas with renewable methane: A contingent valuation experiment in south korea,,344,257.939872,4,0.547507,0.627935,0.000125,3
Multi-variable model output statistics downscaling for the projection of spatio-temporal changes in rainfall of Borneo Island,Multi-variable model output statistics downscaling for the projection of spatio-temporal changes in rainfall of Borneo Island,,366,274.656968,4,0.556671,0.639104,0.000043,3
Fe co-doping effect on fluorine-doped tin oxide transparent conducting films accelerating electrochromic switching performance,Fe co-doping effect on fluorine-doped tin oxide transparent conducting films accelerating electrochromic switching performance,,334,250.597675,4,0.541647,0.621778,0.000252,3
Bias-dependent optical and ion incorporation properties of CoAl-layered double hydroxides,Bias-dependent optical and ion incorporation properties of CoAl-layered double hydroxides,,337,252.55398,4,0.544434,0.624141,0.000302,3
A chelated-type colorimetric chemosensor for sensing Co2+ and Cu2+,A chelated-type colorimetric chemosensor for sensing Co2+ and Cu2+,,463,352.954676,4,0.590264,0.683992,0.000168,3
New Biocatalyst including a 4-Nitrobenzoic Acid Mediator Embedded by the Cross-Linking of Chitosan and Genipin and Its Use in an Energy Device,New Biocatalyst including a 4-Nitrobenzoic Acid Mediator Embedded by the Cross-Linking of Chitosan and Genipin and Its Use in an Energy Device,,562,430.980941,4,0.62987,0.730026,0.002093,3
Ranking of keyword-combined searches in relational databases based on relevance to the user query,Ranking of keyword-combined searches in relational databases based on relevance to the user query,,334,248.959773,4,0.543417,0.622852,0.00001,3
The action of low doses of persistent organic pollutants (POPs) on mitochondrial function in zebrafish eyes and comparison with hyperglycemia to identify a link between POPs and diabetes,The action of low doses of persistent organic pollutants (POPs) on mitochondrial function in zebrafish eyes and comparison with hyperglycemia to identify a link between POPs and diabetes,,428,324.180299,4,0.578529,0.668313,0.000473,3
The effects of task-induced involvement on l2 academic word acquisition in korea,The effects of task-induced involvement on l2 academic word acquisition in korea,,440,332.421841,4,0.579681,0.672251,0.000128,3
Improved adsorption performance of heavy metals by surface modification of polypropylene/polyethylene media through oxygen plasma and acrylic acid,Improved adsorption performance of heavy metals by surface modification of polypropylene/polyethylene media through oxygen plasma and acrylic acid,,449,339.993233,4,0.586398,0.678121,0.000105,3
Opportunistic Hybrid Beamforming Based on Adaptive Perturbation for mmWave Multi-User MIMO Systems,Opportunistic Hybrid Beamforming Based on Adaptive Perturbation for mmWave Multi-User MIMO Systems,,395,297.186867,4,0.5645,0.651632,0.000387,3
Influence of AlN and GaN pulse ratios in thermal atomic layer deposited AlGaN on the electrical properties of AlGaN/GaN schottky diodes,Influence of AlN and GaN pulse ratios in thermal atomic layer deposited AlGaN on the electrical properties of AlGaN/GaN schottky diodes,,322,240.578395,5,0.539638,0.617468,0.00109,3
Field survey on concentration and emission of dust in different types of poultry houses of South Korea,Field survey on concentration and emission of dust in different types of poultry houses of South Korea,,208,152.362114,4,0.503025,0.562285,0.001419,1
High-resolution climate projections for a densely populated mediterranean region,High-resolution climate projections for a densely populated mediterranean region,,553,423.792792,4,0.627155,0.726303,0.000336,3
All-textile wearable triboelectric nanogenerator using pile-embroidered fibers for enhancing output power,All-textile wearable triboelectric nanogenerator using pile-embroidered fibers for enhancing output power,,339,253.725242,4,0.545455,0.625358,0.001582,3
Identifying the Structure of Cities by Clustering Using a New Similarity Measure Based on Smart Card Data,Identifying the Structure of Cities by Clustering Using a New Similarity Measure Based on Smart Card Data,,393,296.547585,5,0.56368,0.65083,0.000922,3
Comparative Study of Hydrogen Embrittlement of Three Heat-resistant Cr-Mo Steels Subjected to Electrochemical and Gaseous Hydrogen Charging,Comparative Study of Hydrogen Embrittlement of Three Heat-resistant Cr-Mo Steels Subjected to Electrochemical and Gaseous Hydrogen Charging,,378,283.499102,4,0.562591,0.645762,0.000428,3
Development of creep elastic follow-up factor solutions for piping design of high-temperature reactor under combined primary and secondary loadings,Development of creep elastic follow-up factor solutions for piping design of high-temperature reactor under combined primary and secondary loadings,,265,195.917225,4,0.520805,0.589848,0.000009,1
Asymmetric learning and the disposition effect,Asymmetric learning and the disposition effect,,138,100.682383,5,0.483389,0.529124,0.00034,1
Compressive behavior of soft lattice structures and their application to functional compliance control,Compressive behavior of soft lattice structures and their application to functional compliance control,,344,256.753015,5,0.54571,0.627133,0.00004,3
EEG Studies on Physical Discomforts Induced by Virtual Reality Gaming,EEG Studies on Physical Discomforts Induced by Virtual Reality Gaming,,418,316.687862,4,0.571429,0.661798,0.000606,3
