,Title,modularity_class
340,"Advanced in algorithms, security, and systems for ICT convergence",15
341,Optimization design of penetrator geometry using artificial neural network and genetic algorithm,8
342,Lightweight design of a sledge frame for para ice hockey using design for additive manufacturing,8
343,Households' willingness to pay for substituting natural gas with renewable methane: A contingent valuation experiment in south korea,5
344,Can both the economic value and energy performance of small-and mid-sized buildings be satisfied? Development of a design expert system in the context of Korea,5
345,"Soft materials for wearable/flexible electrochemical energy conversion, storage, and biosensor devices",9
346,Adaptive Perturbation-Aided Opportunistic Hybrid Beamforming for mmWave Systems,4
347,Deep Learning-Aided Tabu Search Detection for Large MIMO Systems,4
348,Endpoint resummation in squark decays,26
349,Toward high recovery and selective leaching of zinc from electric arc furnace dust with different physicochemical properties,9
350,Economic analysis of integrated ground source heat pumps on a shared ground loop,5
351,Carbon-Doped WO3 Nanostructure Based on CNT Sacrificial Template and its Application to Highly Sensitive NO2 Sensor,9
352,Data transmission direction based routing algorithm for improving network performance of iot systems,15
353,What value does the public put on managing and protecting an endangered marine species? The case of the finless porpoise in South Korea,5
354,A novel procedure of total organic carbon analysis for water samples containing suspended solids with alkaline extraction and homogeneity evaluation by turbidity,9
355,"Assessment of physicochemical quality, antioxidant content and activity, and inhibition of cholinesterase between unripe and ripe blueberry fruit",22
356,Robust Model Predictive Speed Control of Induction Motors Using a Constrained Disturbance Observer,2
357,Soft electromagnetic actuator for assembly robots,15
358,Multi-variable model output statistics downscaling for the projection of spatio-temporal changes in rainfall of Borneo Island,17
359,Effect of wheat germ on metabolic markers: a systematic review and meta-analysis of randomized controlled trials,22
360,Comparison of electrical and interfacial characteristics between atomic-layer-deposited AlN and AlGaN on a GaN substrate,21
361,A patent-based approach for the identification of technology-based service opportunities,15
362,Real and synthetic data sets for benchmarking key-value stores focusing on various data types and sizes,4
363,Detection of zinc (II) and hypochlorite by a thiourea-based chemosensor via two emission channels and its application in vivo,16
364,Voltage Sensorless Control Scheme Based on Extended-State Estimator for a Grid-Connected Inverter,2
365,Flow and solidification of semi-crystalline polymer during micro-injection molding,8
366,Growth characteristics and film properties of plasma-enhanced and thermal atomic-layer-deposited magnesium oxide thin films prepared using bis(ethylcyclopentadienyl)magnesium precursor,9
367,Low-concentration exposure to organochlorine pesticides (OCPs) in L6 myotubes and RIN-m5F pancreatic beta cells induces disorders of glucose metabolism,16
368,Fe co-doping effect on fluorine-doped tin oxide transparent conducting films accelerating electrochromic switching performance,9
369,The number of equivalence classes arising from partition involutions,34
370,Bias-dependent optical and ion incorporation properties of CoAl-layered double hydroxides,9
371,All-Inkjet-Printed Flexible Nanobio-Devices with Efficient Electrochemical Coupling Using Amphiphilic Biomaterials,34
372,Gold Nanoparticle-Enhanced and Roll-to-Roll Nanoimprinted LSPR Platform for Detecting Interleukin-10,16
373,A chelated-type colorimetric chemosensor for sensing Co2+ and Cu2+,16
374,New Biocatalyst including a 4-Nitrobenzoic Acid Mediator Embedded by the Cross-Linking of Chitosan and Genipin and Its Use in an Energy Device,9
375,Ranking of keyword-combined searches in relational databases based on relevance to the user query,4
376,Design of Semantic-Based Colorization of Graphical User Interface Through Conditional Generative Adversarial Nets,22
377,Neutral pH aqueous redox flow batteries using an anthraquinone-ferrocyanide redox couple,9
378,The action of low doses of persistent organic pollutants (POPs) on mitochondrial function in zebrafish eyes and comparison with hyperglycemia to identify a link between POPs and diabetes,16
379,Body mass index and trajectories of cognitive decline among older Korean adults,22
380,The effects of task-induced involvement on l2 academic word acquisition in korea,22
381,Improved adsorption performance of heavy metals by surface modification of polypropylene/polyethylene media through oxygen plasma and acrylic acid,9
382,Development of DLP 3D printer with multiple composite materials,8
383,A study on thermal and flow characteristics of an injection mold using a detachable core module with embedded heating,8
384,Low-Complexity Hybrid Precoding and Combining Scheme Based on Array Response Vectors,4
385,Opportunistic Hybrid Beamforming Based on Adaptive Perturbation for mmWave Multi-User MIMO Systems,4
386,Effect of bainitic microstructure on low-temperature toughness of high-strength API pipeline steels,13
387,Spark plasma sintering of cobalt powders in conjunction with high energy mechanical treatment and nanomodification,8
388,Ultra-low-power implantable medical devices: Optical wireless communication approach,29
389,An emotional comfort product using touch-The possibility,8
390,Influence of AlN and GaN pulse ratios in thermal atomic layer deposited AlGaN on the electrical properties of AlGaN/GaN schottky diodes,22
391,"Engineering, durability, and sustainability properties analysis of high-volume, PCC ash-based concrete",13
392,Field survey on concentration and emission of dust in different types of poultry houses of South Korea,34
393,"Comparison among active front, front independent, 4-wheel and 4-wheel independent steering systems for vehicle stability control",2
394,State estimation for DC microgrids using modified long short-term memory networks,2
395,Evaluation of sheet-coated composite waterproofing joint types by analysis of tensile strength change and concrete displacement resistance testing under environmental degradation,13
396,"Public perspective on increasing the numbers of an endangered species, loggerhead turtles in South Korea: A contingent valuation",5
397,High-resolution climate projections for a densely populated mediterranean region,17
398,All-textile wearable triboelectric nanogenerator using pile-embroidered fibers for enhancing output power,8
399,Penetration depth of high-velocity projectiles for geomaterials through an empirical equation,13
400,On the improvement of temperature uniformity and energy efficiency by auxiliary ducts for cooling air in a semi-low temperature warehouse,8
401,Quantifying public preferences for community-based renewable energy projects in South Korea,5
402,Spatial optimization of operating microalgae bioreactor for nitrogen removal and electricity saving,9
403,Identifying the Structure of Cities by Clustering Using a New Similarity Measure Based on Smart Card Data,34
404,An Approximate Memory Architecture for Energy Saving in Deep Learning Applications,15
405,Practical bending-angle calculation for an automated surgical plate bending apparatus,8
406,Evaluating bioretention hydrology and nutrient removal for restoring wetland function at artificial rainfall,17
407,Complex Permittivity Measurement of Artificial Tissue Emulating Material Using Open-Ended Coaxial Probe,29
408,Pressure-Assisted Sinter-Bonding Characteristics at 250 °C in Air Using Bimodal Ag-Coated Cu Particles,21
409,"Comparative study of the bioactive compounds, flavours and minerals present in black pepper before and after removing the outer skin",22
410,Development of Synthetic Magnetic Zeolite Adsorbents and Application to Ammonium Ion Removal,9
411,Serine protease in a bred variety of oriental melon (Cucumis melo L. var. makuwa) curtails vascular thrombosis by balancing hemostasis and fibrinolysis in a rodent model,22
412,Comparative Study of Hydrogen Embrittlement of Three Heat-resistant Cr-Mo Steels Subjected to Electrochemical and Gaseous Hydrogen Charging,13
413,Development of creep elastic follow-up factor solutions for piping design of high-temperature reactor under combined primary and secondary loadings,13
414,Asymmetric learning and the disposition effect,4
415,Compressive behavior of soft lattice structures and their application to functional compliance control,8
416,EEG Studies on Physical Discomforts Induced by Virtual Reality Gaming,22
417,Membraneless enzymatic biofuel cells using iron and cobalt co-doped ordered mesoporous porphyrinic carbon based catalyst,9
418,Shrinkage properties and microstructure of high volume ultrafine phosphorous slag blended cement mortars with superabsorbent polymer,13
419,Ohmic cooking of instant rice cake soup: energy efficiency and textural qualities,2
420,Automated classification of indoor environmental quality control using stacked ensembles based on electroencephalograms,4
421,Design of Low-Power SoC for Wearable Healthcare Device,2
422,Video transcoding scheme of multimedia data-hiding for multiform resources based on intra-cloud,15
423,Investigation of divergence tunnel excavation according to horizontal offsets between tunnels,29
424,Ecklonia cava based mesoporous activated carbon for high-rate energy storage devices,9
425,Interfacial Engineering of a Heteroatom-Doped Graphene Layer on Patterned Aluminum Foil for Ultrafast Lithium Storage Kinetics,9
426,Abnormal Usage Sequence Detection for Identification of User Needs via Recurrent Neural Network Semantic Variational Autoencoder,4
427,Churros-like Polyvinylidene Fluoride Nanofibers for Enhancing Output Performance of Triboelectric Nanogenerators,2
428,Liquid metal embedded real time microfluidic flow pressure monitoring sensor,8
429,Alkaline aqueous organic redox flow batteries of high energy and power densities using mixed naphthoquinone derivatives,9
430,A modular A4 symmetric scotogenic model,34
431,Denitrification performance and microbial community variation during reverse osmosis concentrate treatment by sulfur denitrification process,9
432,Toward an integrative service design framework and future agendas,15
433,Effect of the air duct system of a simplified vehicle model on aerodynamic performance,2
434,Foreign object detection in actuating part of turnout using structural similarity index,2
435,"Advanced technologies in blockchain, machine learning, and big data",15
436,Analysing an effect of buffer capacity and periodic dirty buffer flush on data lifetime,15
437,Micro-extrusion for a gear shaft,8
438,Estimating dehalogenation reactivity of nanoscale zero-valent iron by simple colorimetric assay by way of 4-chlorophenol reduction,9
439,The Study on Manufacturing Process of Printable Temperature Distribution Measuring Sensor Using the Thermocouple Metal Paste,8
440,The Study on Simulation of Thermal-Mechanical Characteristics according to Structural Factors of EMC Filling via in the Multi-layered FOWLP,8
441,Automatic 2D floorplan CAD generation from 3D point clouds,15
442,"Correction: Kamruzzaman, M., et al. Evaluating the Impact of Climate Change on Paddy Water Balance Using APEX-Paddy Model [Water, 12, (2020) (852)] DOI: 10.3390/w12030852",17
443,Evaluating the impact of turbulence closure models on solute transport simulations in meandering open channels,8
444,Titanium dioxide nanoparticles dispersed in heteroatom-doped carbon nanofibers for ultrafast lithium storage,9
445,Safe and policy oriented secure android-based industrial embedded control system,15
446,Changes in climatic water availability and crop water demand for Iraq region,17
447,Assessing the effects of higher-education factors on the job satisfaction of engineering graduates in Korea,5
448,"Public acceptance of the ""renewable energy 3020 plan"": Evidence from a contingent valuation study in South Korea",5
449,End-to-end deep learning architecture for continuous blood pressure estimation using attention mechanism,4
450,A systems biological approach to understanding the mechanisms underlying the therapeutic potential of red ginseng supplements against metabolic diseases,22
451,Measurement and verification of integrated ground source heat pumps on a shared ground loop,5
452,Effects of irrigation with desalinated water on lettuce grown under greenhouse in South Korea,22
453,Public preference for increasing natural gas generation for reducing CO2 emissions in South Korea,5
454,Green pepper (Piper nigrum l.) extract suppresses oxidative stress and lps-induced inflammation via regulation of JNK signaling pathways,22
455,Design Principles for Improving Spatial Secrecy Performance in Random Access-Based Wireless Mutual Broadcast Networks,29
456,Rigorous co-registration of KOMPSAT-3 multispectral and panchromatic images for pan-sharpening image fusion,16
457,High-resolution neural network for driver visual attention prediction,16
458,"Analysis of the educational needs related to, and perceptions of the importance of, essential job competencies among science and engineering graduates",5
459,Tobacco etch virus (TEV) protease with multiple mutations to improve solubility and reduce self-cleavage exhibits enhanced enzymatic activity,22
460,Comparison of Rheological Characteristics and Mechanical Properties of Fossil-Based and Bio-Based Polycarbonate,8
461,Microwave combustion synthesis of tin oxide-decorated silica nanostructure using rice husk template for supercapacitor applications,9
462,Embodied and Operational CO2 Emissions of the Elementary School Buildings in Different Climate Zones,5
463,South Koreans’ perspective on assisting the power supply to North Korea: Evidence from a contingent valuation,5
464,"Eco-friendly synthesis of ZnO nanorods using Cycas pschannae plant extract with excellent photocatalytic, antioxidant, and anticancer nanomedicine for lung cancer treatment",22
465,Perovskite ceramic membrane separator with improved biofouling resistance for yeast-based microbial fuel cells,9
466,Analytical Study of Shear Buckling Behavior of Trapezoidal and Sinusoidal Corrugated Web Girders,13
467,Enhancing the total organic carbon measurement efficiency for water samples containing suspended solids using alkaline and ultrasonic pretreatment methods,9
468,Binary cuckoo search metaheuristic-based supercomputing framework for human behavior analysis in smart home,16
469,Adaptive resource management using many-core processing for fault tolerance based on cyber–physical cloud systems,15
470,Insights from socio-hydrological modeling to design sustainable wastewater reuse strategies for agriculture at the watershed scale,9
471,A biocatalyst containing chitosan and embedded dye mediator adopted for promoting oxidation reactions and its utilization in biofuel cells,9
472,External benefits of increasing bioethanol consumption: a choice experiment study,5
473,Cation-Regulated Transformation for Continuous Two-Dimensional Tin Monosulfide,9
474,Inflow and outflow event mean concentration analysis of contaminants in bioretention facilities for non-point pollution management,17
475,Improved resistive switching behavior of multiwalled carbon nanotube/TiO2 nanorods composite film by increased oxygen vacancy reservoir,9
476,A theory for scotogenic dark matter stabilised by residual gauge symmetry,17
477,A benzyl carbazate-based fluorescent chemosensor for detecting Zn2+: Application to zebrafish,16
478,Effect of cell size on the performance and temperature distribution of molten carbonate fuel cells,9
479,Directional bending sensor based on triangular shaped fiber bragg gratings,8
480,Underdetermined blind source separation using normalized spatial covariance matrix and multichannel nonnegative matrix factorization,4
481,Adherence detector using canny edge detector,16
482,"Spectacle Korea: Transfiguring national boundaries, trans-imaging national culture in the case of the good, the bad, the weird",5
483,Analysis of springback characteristics of magnesium alloy sheet (AZ31B) considering time-dependence in warm bending,8
484,Property analysis of multi-material specimen based on ME type 3D printer,8
485,BLOCIS: Blockchain-based cyber threat intelligence sharing framework for sybil-resistance,15
486,Evaluating the impact of climate change on paddy water balance using APEX-paddy model,17
487,Decrepit building monitoring solution for zero energy building management using PLC and android application,15
488,Optically Transparent Wideband Dipole and Patch External Antennas Using Metal Mesh for UHD TV Applications,29
489,RF-DC conversion efficiency model for high-frequency diodes using DC-single tone approximation,29
490,Surface-modified industrial acrylonitrile butadiene styrene 3d scaffold fabrication by gold nanoparticle for drug screening,16
491,Comparative evaluation of lifetime of three-level inverters in grid-connected photovoltaic systems,2
492,Performance comparison of parallel ILU preconditioners for the incompressible Navier-Stokes equations,8
493,A Study on Transparent Electrode Properties of Indium Tin Oxide Thin Films Deposited From Recycled Target,9
494,Analysis of Electromagnetic Waves Attenuation for Underwater Localization in Structured Environments,4
495,Emotion-based painting image display system,4
496,Determination of Zinc Ion by a Quinoline-Based Fluorescence Chemosensor,16
497,Malware classification algorithm using advanced Word2vec-based Bi-LSTM for ground control stations,34
498,Enhanced Vertical Charge Transport of Homo- and Blended Semiconducting Polymers by Nanoconfinement,9
499,Hybrid Smart Fiber with Spontaneous Self-Charging Mechanism for Sustainable Wearable Electronics,2
500,Hylotelephium telephium Flower Extract-Mediated Biosynthesis of CuO and ZnO Nanoparticles with Promising Antioxidant and Antibacterial Properties for Healthcare Applications,9
501,Fatigue strength evaluation of self-piercing riveted joints of AZ31 Mg alloy and cold-rolled steel sheets,8
502,Introduction to the Special Section on Artificial Intelligence-based Information Security,34
503,4D printing using anisotropic thermal deformation of 3D-printed thermoplastic parts,8
504,Improved biofilm adhesion and electrochemical properties of a graphite-cement composite with silica nanoflowers versus two benchmark carbon felts,9
505,In situ generation of graphene network in silicon carbide fibers: Role of iodine and carbon monoxide,9
506,Effects of quorum quenching on temporal succession of activated sludge microbial community in a membrane bioreactor,9
507,Correlation of microstructure with tensile behavior and properties of API X70 pipeline steels subjected to strain aging,13
508,Development and optimization of the laser-assisted bonding process for a flip chip package,21
509,"Performance improvement by novel activation process effect of aqueous organic redox flow battery using Tiron and anthraquinone-2,7-disulfonic acid redox couple",9
510,Energy-efficient micromolding and in-mold compounding using ultrasonic vibration energy with enhanced material flow,8
511,The effect of a vitamin B12 based catalyst on hydrogen peroxide oxidation reactions and the performance evaluation of a membraneless hydrogen peroxide fuel cell under physiological pH conditions,9
512,Development and evaluation of data-driven modeling for bubble size in turbulent air-water bubbly flows using artificial multi-layer neural networks,17
513,Image reconstruction for rotational modulation collimator (RMC) using non local means (NLM) denoising filter,16
514,Estimation of level-I hidden liquidity using the dynamics of limit order-book,5
515,Atomic layer deposition of pure In2O3 films for a temperature range of 200–300 °C using heteroleptic liquid In(DMAMP)2(OiPr) precursor,9
516,A multi-level adaptive mesh refinement for an integrated finite element/level set formulation to simulate multiphase flows with surface tension,8
517,Magnetic Alignment of Polymer Nanodiscs Probed by Solid-State NMR Spectroscopy,16
518,"Effects of Molar Ratios of Two Immiscible Monomers toward Development of an Amphiphilic, Highly Stretchable, Bioadhesive, Self-Healing Copolymeric Hydrogel and its Mineral-Active Cellular Behavior",16
519,Performance improvement of the glucose oxidation reactions using methyl red mediator,9
520,Microfluidic assembly of mono-dispersed liposome and its surface modification for enhancing the colloidal stability,22
521,Study on allowable height of sleepers used in open-deck steel plate girders,13
522,Performance evaluation of spatial data management systems using geospark,15
523,Network analysis for concept representation in design activities,15
524,Listeners' boredom: How long can the voice information of a smart speaker be?,15
525,Towards the commercialization of colloidal quantum dot solar cells: Perspectives on device structures and manufacturing,16
526,An analysis of the factors on the problem-solving competencies of engineering employees in Korea,5
527,Analysis of urban flood inundation patterns according to rainfall intensity using a rainfall simulator in the Sadang area of South Korea,17
528,Effects of a greater incentive to attack the head and face region on incidence of head kicks and concussions among male youth taekwondo competitors,5
529,Forward current transport properties of AlGaN/GaN Schottky diodes prepared by atomic layer deposition,21
530,Copper-binding energetics of amicyanin in different folding states,34
531,Unequally Sub-Connected Architecture for Hybrid Beamforming in Massive MIMO Systems,29
532,Evaluation method of relative humidity changes in below-grade concrete structure space depending on different waterproofing material and installation method,30
533,Two-Step Plasma Treatment on Copper Surface for Low-Temperature Cu Thermo-Compression Bonding,21
534,Entropy-stabilized oxides owning fluorite structure obtained by hydrothermal treatment,9
535,Inhibitory effect of Centella asiatica extract on DNCB-induced atopic dermatitis in HaCaT cells and BALB/c mice,22
536,"Effect of nano-montmorillonite on osteoblast differentiation, mineral density, and osteoclast differentiation in bone formation",22
537,"Nanoemulsions as delivery systems for lipophilic nutraceuticals: strategies for improving their formulation, stability, functionality and bioavailability",22
538,Real-Time Control Algorithm for Hybrid System Using Gear Shift Map and Mode Conversion Map,2
539,Forced convection heat transfer for the fully-developed laminar flow of the cross fluid between parallel plates,8
540,A thiourea-naphthol based turn-on fluorescent sensor for detecting In3+ and its application,34
541,Task number maximization offloading strategy seamlessly adapted to UAV scenario,15
542,A Chromone-Based Fluorescent Chemosensor for Detecting Cu2+,13
543,Building occupants' psycho-physiological response to indoor climate and CO2 concentration changes in office buildings,22
544,Heat transfer enhancement by a wall-mounted flexible vortex generator with an inclination angle,8
545,Open innovation at the national level: Towards a global innovation system,5
546,"Corrigendum to “How climate scenarios alter future predictions of field-scale water and nitrogen dynamics and crop yields” (Journal of Environmental Management (2019) 252, (S0301479719313416), (10.1016/j.jenvman.2019.109623))",17
547,Interactions of Cinnamycin-Immobilized Gold Nanorods with Biomimetic Membranes,22
548,Multifunctional periodic mesoporous benzene-silicas for evaluation of CO2 adsorption at standard temperature and pressure,9
549,Using EEM-PARAFAC to probe NF membrane fouling potential of stabilized landfill leachate pretreated by various options,16
550,Combined Inter-layer FEC and Hierarchical QAM for Stereoscopic 3D Video Transmission,4
551,Atomic layer deposited YSZ overlayer on Ru for direct methane utilization in solid oxide fuel cell,9
552,Role of block copolymer template for tailoring crystal structure and band gap of titania in mesoporous silica and organosilica particles,9
553,"Dual catalytic functions of biomimetic, atomically dispersed iron-nitrogen doped carbon catalysts for efficient enzymatic biofuel cells",9
554,Quorum sensing and quorum quenching in membrane bioreactors,9
555,Visible and IR transparent Co-doped SnO2 thin films with efficient electromagnetic shielding performance,9
556,"Socio-economic factors affecting trust in the military: Comparatives on perspectives on China, Japan, and South Korea",5
557,The homogeneity of multi-textured micro-pattern arrays in a laser shock surface patterning process and its effect on the surface properties of aluminum alloy,8
558,Superparamagnetic NiO-doped mesoporous silica flower-like microspheres with high nickel content,9
559,Molecularly Imprinted Polyaniline Nanowire-Based Electrochemical Biosensor for Chloramphenicol Detection: A Kinetic Study of Aniline Electropolymerization,9
560,Simultaneous Detection of Cu2+ and Co2+ by a Water-Soluble Carboxamide-Based Colorimetric Chemosensor,16
561,"Wafer-Scale, Conformal, and Low-Temperature Synthesis of Layered Tin Disulfides for Emerging Nonplanar and Flexible Electronics",9
562,A combined network control approach for the edge cloud and LPWAN-based IoT services,15
563,The Effects of Managers’ Purposeful Performance Information Use on American Hospital Performance,5
564,Unsupervised moving object detection through background models for PTZ camera,4
565,Epipolar resampling module for CAS500 satellites 3D stereo data processing,16
566,Experimental study on long-term behavior of RC columns subjected to sustained eccentric load,13
567,Model predictive control of the AC voltage of an electric-vehicle charging station with ESS,2
568,Predicting patent transactions using patent-based machine learning techniques,15
569,Deep learning-based microRNA target prediction using experimental negative data,4
570,New insights into the real-time performance of a multicore processor,15
571,Generating images in compressed domain using generative adversarial networks,15
572,Dynamic modelling and experimental results of a ray-type hybrid underwater glider with a dualbuoyancy engine,16
573,Investigation of the functional characteristics of injection molds with conformal cooling channels,8
574,Autonomous driving system design of solar panel cleaning robot using vacuum adsorption mechanism,16
575,Study on wind characteristics of electric fan via the case study of a dual-structured wing fan,8
576,A numerical study on the effect of a vertical fence with porosity on the reduction of wind speed,2
577,"Algorithms, Processes, and Services for Future ICT",34
578,Characterization of indoor and outdoor exposure level to hazardous air pollutants at various living environments by canister sampling,16
579,Fabrication of electrically conductive patterns on abs polymer using low-pressure cold spray and electroless plating,8
580,Simulation and characterization of cold spray deposition of metal powders on polymer substrate electrically conductive application,8
581,Quantum Communication Technology for Future ICT - Review,15
582,Extrinsic calibration of a camera and a 2D lidar using a dummy camera with IR cut filter removed,16
583,Ramanujan's function k (τ) = r (τ) r2(2 τ) and its modularity,2
584,Biases in Integer Partitions,34
585,A compact flexible frequency reconfigurable antenna for heterogeneous applications,29
586,"Enhanced Machine Learning Algorithms: Deep Learning, Reinforcement Learning, and Q-Learning",15
587,Environmental applications of fine bubble generating apparatus with low energy and high treatment efficiency,9
588,Improving the performance of rlizard on memory-constraint iot devices with 8-bit atmega mcu,15
589,Confidence-Aware learning for deep neural networks,4
590,Challenges in water resources of lagos mega city of nigeria in the context of climate change,17
591,Binary particle acoustophoresis separation based on nodal position adjustment through PDMS wall,8
592,The Relationship between the Personality Changes and Costume Colors of Characters in Disney Animations and Live Action Films,34
593,A Heterocyclic-based Bifunctional Sensor for Detecting Cobalt and Zinc Ion,9
594,A Study on the Digital Forensic Investigation Method of Clever Malware in IoT Devices,15
595,Hedge algebras-based admittance controller for safe natural human–robot interaction,4
596,Implementation of an in vitro exposure system for 28 GHz,29
597,New RNN Activation Technique for Deeper Networks: LSTCM Cells,4
598,Wider-Bandwidth Operation of IEEE 802.11 for Extremely High Throughput: Challenges and Solutions for Flexible Puncturing,15
599,Biomimetic Flow Sensor for Detecting Flow Rate and Direction as an Application for Maneuvering Autonomous Underwater Vehicle,16
600,The Effect of Private Customer-Manager Social Engagement Upon Online Booking Behavior,15
601,A Quadratic Programming-Based Power Dispatch Method for a DC-Microgrid,2
602,Study on numerical oscillations of forming load occurring in forward open cold extrusion,8
603,Similarity ranking technique exploiting the structure of similarity relationships,4
604,Application of artificial neural network to multi-variables regression for estimations of j-integral for surface cracked pipes,13
605,"Investigating structural response of pressure reducing valve of supercritical steam generator system under cyclic moments, thermal transient, and pressure loadings",13
606,"Correction to: Design and controller development of drone capable of landing, takeoff, and travelling on a vertical wall (Journal of Institute of Control, Robotics and Systems, (2019) 25, 12, (1077-1084), 10.5302/J.ICROS.2019.19.0177)",29
607,Foreground Objects Detection Using a Fully Convolutional Network with a Background Model Image and Multiple Original Images,16
608,Detection of korea license plate by mask r-cnn using composite image,16
609,Foreign bank’s acquisition strategy and the business approach of domestic bank: A case of standard chartered bank,5
610,Effects of adding niobium and vanadium to fe-based oxide dispersion strengthened alloy,9
611,Post-quantum blockchain for a scalable smart city,15
612,Fabrication of molybdenum alloy with distributed high-entropy alloy via pressureless sintering,9
613,Roadmapping for Data: Concept and Typology of Data-Integrated Smart-Service Roadmaps,5
614,Real-Time Characteristics of ROS 2.0 in Multiagent Robot Systems: An Empirical Study,15
615,A short review on predictions for wind power generation – its limitation and future directions,2
616,Block5GIntell: Blockchain for AI-Enabled 5G Networks,15
617,Trustful Resource Management for Service Allocation in Fog-Enabled Intelligent Transportation Systems,15
618,Fast measurement of eyebox and field of view (Fov) of virtual and augmented reality devices using the ray trajectories extending from positions on virtual image,16
619,Dynamic Early Dirty Buffer Flush to Reduce Miss Penalty in Solid-State Drives,15
620,Facile Airbrush Fabrication of Gas Diffusion Layers Comprising Fine-Patterned Hydrophobic Double-Layer and Hydrophilic Channel for Improved Water Removal in Polymer Electrolyte Membrane Fuel Cells,9
621,Enhanced Solubility of the Support in an FDM-Based 3D Printed Structure Using Hydrogen Peroxide under Ultrasonication,8
622,An application of design of experiments for optimization of mof-235 synthesis for acetylene adsorption process,9
623,An Implantable Neural Stimulator IC with Anodic Current Pulse Modulation Based Active Charge Balancing,29
624,"Predicting PBT and CMR properties of substances of very high concern (SVHCs) using QSAR models, and application for K-REACH",22
625,Does online political participation reinforce offline political participation?: Using instrumental variable,5
626,Effect of post-processing heat treatment on microstructure evolution and mechanical properties of in-situ Al/(Al3Ni-TiC) hybrid composite fabricated by friction stir processing using mechanically activated powders,21
627,Electrochemical deposition of polypyrrole nanostructures for energy applications: A review,9
628,Effect of motion cues on simulator sickness in a flight simulator,34
629,Urban building change detection using ndsm and road extraction,34
630,Sub-1 min Sinter-Bonding Technique in Air Using Modified Cu Dendritic Particles for Formation of a High-Temperature Sustainable Bondline,21
631,Prosumer Energy Management Considering Contract with Consumers under Progressive Pricing Policy,5
632,Structure and in vitro digestion of amylosucrase-modified waxy corn starch as affected by iterative retrogradation,22
633,Robust adaptive depth control of hybrid underwater glider in vertical plane,2
634,"Correction to: Versatile biotechnological applications of amylosucrase, a novel glucosyltransferase (Food Science and Biotechnology, (2020), 29, 1, (1-16), 10.1007/s10068-019-00686-6)",30
635,"Correction to: Effect of wheat germ on metabolic markers: a systematic review and meta-analysis of randomized controlled trials (Food Science and Biotechnology, (2020), 29, 6, (739-749), 10.1007/s10068-020-00769-9)",34
636,"Correction to: Nanoemulsions as delivery systems for lipophilic nutraceuticals: strategies for improving their formulation, stability, functionality and bioavailability (Food Science and Biotechnology, (2020), 29, 2, (149-168), 10.1007/s10068-019-00731-4)",9
637,Additive Ensemble Neural Networks,4
638,Tunable ternary doping effect of protein-based carbon derived from tofu for energy storage devices,9
639,SWC_ A study on the economic analysis of zero energy building using solar photovoltaic energy in Korea,5
640,Effect of austempering time on the microstructure and mechanical properties of ultra-high strength nanostructured bainitic steels,13
641,Airborne levels of lung carcinogens at an ascon manufacturing site,34
642,The relationship between fiscal decentralization and trust in government: evidence from the South Korean case,5
643,Analysis of the envelope correlation coefficient of MIMO antennas connected with suspended lines,29
644,Analysis of impact position based on deep learning CNN algorithm,4
645,A study of precision train control improvement according to the revised algorithm of speed and travel distance calculation,2
646,Dynamic charge carrier transport behaviors in zirconium oxide for nuclear cladding materials,9
647,Effect of pyrolysis conditions on the physicochemical properties of graphitic carbon nitride for visible-light-driven photocatalytic degradation,9
648,Die attachment method on a Cu finish by pressure-assisted sinter bonding in air using Cu formate paste,21
649,Dilatometric analysis of the sintering behavior of Bi2Te3 thermoelectric powders,9
650,Electrical characteristics of tin oxide films grown by thermal atomic layer deposition,9
651,How to determine a minimum viable product in app-based lean start-ups: Kano-based approach,15
652,An exact voltage-power equation with no angle terms for an AC two-bus system,2
653,Study on Effect of Installation Location on Lifetime of PV Inverter and DC-to-AC Ratio,2
654,Design of an external gravity compensator for a tendon-based serial mechanism,34
655,Development of ballbot lqr control system,2
656,Online data-driven energy management of a hybrid electric vehicle using model-based Q-learning,2
657,"Security, privacy, and efficiency of sustainable computing for future smart cities",15
658,The differential effects of governmental direct and indirect subsidies on healthcare organization’s profitability in south korea,34
659,"Variations of mechanical properties and texture analysis with annealing conditions of aluminum 5182, 5052 and 3003 alloys sheets",13
660,Effect of intercritical annealing on microstructure and mechanical properties of Fe-9Mn-0.2C-3Al-0.5Si medium manganese steels containing Cu and Ni,13
661,Synthesis of TiO2 composited nitrogen-doped carbon supports for high-performance methanol oxidation activity,9
662,Effect of heat treatment on microstructure and mechanical properties of an Fe-6.5Mn-0.08C medium-manganese steel,13
663,Enhancement of structural and mechanical properties of Fe + 0.5 % C steel powder alloy via incorporation of Ni and Co nanoparticles,9
664,Learning-Aided Deep Path Prediction for Sphere Decoding in Large MIMO Systems,4
665,Application of statistical design of experiments in the field of chemical engineering: A bibliographical review,34
666,Cassia tora Seed Improves Pancreatic Mitochondrial Function Leading to Recovery of Glucose Metabolism,22
667,Low-Complexity Incremental Search-Aided Hybrid Precoding and Combining for Massive MIMO Systems,4
668,Managerial ability and tax planning: Trade-off between tax and nontax costs,5
669,Wearable Computing for Defence Automation: Opportunities and Challenges in 5G Network,15
670,Effects of Textile Weaving and Finishing Processes on Textile-Based Wearable Patch Antennas,29
671,A New Splitting Criterion for Better Interpretable Trees,4
