id,cluster
Multi-variable model output statistics downscaling for the projection of spatio-temporal changes in rainfall of Borneo Island,1
Effect of wheat germ on metabolic markers: a systematic review and meta-analysis of randomized controlled trials,11
Comparison of electrical and interfacial characteristics between atomic-layer-deposited AlN and AlGaN on a GaN substrate,4
A patent-based approach for the identification of technology-based service opportunities,14
Real and synthetic data sets for benchmarking key-value stores focusing on various data types and sizes,3
Detection of zinc (II) and hypochlorite by a thiourea-based chemosensor via two emission channels and its application in vivo,12
Voltage Sensorless Control Scheme Based on Extended-State Estimator for a Grid-Connected Inverter,5
Flow and solidification of semi-crystalline polymer during micro-injection molding,7
Growth characteristics and film properties of plasma-enhanced and thermal atomic-layer-deposited magnesium oxide thin films prepared using bis(ethylcyclopentadienyl)magnesium precursor,4
Low-concentration exposure to organochlorine pesticides (OCPs) in L6 myotubes and RIN-m5F pancreatic beta cells induces disorders of glucose metabolism,11
Fe co-doping effect on fluorine-doped tin oxide transparent conducting films accelerating electrochromic switching performance,4
The number of equivalence classes arising from partition involutions,12
Bias-dependent optical and ion incorporation properties of CoAl-layered double hydroxides,4
All-Inkjet-Printed Flexible Nanobio-Devices with Efficient Electrochemical Coupling Using Amphiphilic Biomaterials,7
Gold Nanoparticle-Enhanced and Roll-to-Roll Nanoimprinted LSPR Platform for Detecting Interleukin-10,12
A chelated-type colorimetric chemosensor for sensing Co2+ and Cu2+,12
New Biocatalyst including a 4-Nitrobenzoic Acid Mediator Embedded by the Cross-Linking of Chitosan and Genipin and Its Use in an Energy Device,2
Ranking of keyword-combined searches in relational databases based on relevance to the user query,12
Design of Semantic-Based Colorization of Graphical User Interface Through Conditional Generative Adversarial Nets,14
Neutral pH aqueous redox flow batteries using an anthraquinone-ferrocyanide redox couple,12
The action of low doses of persistent organic pollutants (POPs) on mitochondrial function in zebrafish eyes and comparison with hyperglycemia to identify a link between POPs and diabetes,11
Body mass index and trajectories of cognitive decline among older Korean adults,11
The effects of task-induced involvement on l2 academic word acquisition in korea,12
Improved adsorption performance of heavy metals by surface modification of polypropylene/polyethylene media through oxygen plasma and acrylic acid,2
Development of DLP 3D printer with multiple composite materials,7
A study on thermal and flow characteristics of an injection mold using a detachable core module with embedded heating,7
Low-Complexity Hybrid Precoding and Combining Scheme Based on Array Response Vectors,3
Opportunistic Hybrid Beamforming Based on Adaptive Perturbation for mmWave Multi-User MIMO Systems,3
Effect of bainitic microstructure on low-temperature toughness of high-strength API pipeline steels,4
Spark plasma sintering of cobalt powders in conjunction with high energy mechanical treatment and nanomodification,4
Ultra-low-power implantable medical devices: Optical wireless communication approach,6
An emotional comfort product using touch-The possibility,14
Influence of AlN and GaN pulse ratios in thermal atomic layer deposited AlGaN on the electrical properties of AlGaN/GaN schottky diodes,4
"Engineering, durability, and sustainability properties analysis of high-volume, PCC ash-based concrete",8
Field survey on concentration and emission of dust in different types of poultry houses of South Korea,9
"Comparison among active front, front independent, 4-wheel and 4-wheel independent steering systems for vehicle stability control",5
State estimation for DC microgrids using modified long short-term memory networks,5
Evaluation of sheet-coated composite waterproofing joint types by analysis of tensile strength change and concrete displacement resistance testing under environmental degradation,8
"Public perspective on increasing the numbers of an endangered species, loggerhead turtles in South Korea: A contingent valuation",9
High-resolution climate projections for a densely populated mediterranean region,1
All-textile wearable triboelectric nanogenerator using pile-embroidered fibers for enhancing output power,7
Penetration depth of high-velocity projectiles for geomaterials through an empirical equation,8
On the improvement of temperature uniformity and energy efficiency by auxiliary ducts for cooling air in a semi-low temperature warehouse,7
Quantifying public preferences for community-based renewable energy projects in South Korea,9
Spatial optimization of operating microalgae bioreactor for nitrogen removal and electricity saving,1
Identifying the Structure of Cities by Clustering Using a New Similarity Measure Based on Smart Card Data,3
An Approximate Memory Architecture for Energy Saving in Deep Learning Applications,10
Practical bending-angle calculation for an automated surgical plate bending apparatus,8
Evaluating bioretention hydrology and nutrient removal for restoring wetland function at artificial rainfall,1
Complex Permittivity Measurement of Artificial Tissue Emulating Material Using Open-Ended Coaxial Probe,6
Pressure-Assisted Sinter-Bonding Characteristics at 250 Â°C in Air Using Bimodal Ag-Coated Cu Particles,4
"Comparative study of the bioactive compounds, flavours and minerals present in black pepper before and after removing the outer skin",12
Development of Synthetic Magnetic Zeolite Adsorbents and Application to Ammonium Ion Removal,2
Serine protease in a bred variety of oriental melon (Cucumis melo L. var. makuwa) curtails vascular thrombosis by balancing hemostasis and fibrinolysis in a rodent model,12
Comparative Study of Hydrogen Embrittlement of Three Heat-resistant Cr-Mo Steels Subjected to Electrochemical and Gaseous Hydrogen Charging,2
Development of creep elastic follow-up factor solutions for piping design of high-temperature reactor under combined primary and secondary loadings,8
Asymmetric learning and the disposition effect,12
Compressive behavior of soft lattice structures and their application to functional compliance control,7
EEG Studies on Physical Discomforts Induced by Virtual Reality Gaming,11
Membraneless enzymatic biofuel cells using iron and cobalt co-doped ordered mesoporous porphyrinic carbon based catalyst,2
Shrinkage properties and microstructure of high volume ultrafine phosphorous slag blended cement mortars with superabsorbent polymer,12
Ohmic cooking of instant rice cake soup: energy efficiency and textural qualities,5
Automated classification of indoor environmental quality control using stacked ensembles based on electroencephalograms,14
Design of Low-Power SoC for Wearable Healthcare Device,10
Video transcoding scheme of multimedia data-hiding for multiform resources based on intra-cloud,14
Investigation of divergence tunnel excavation according to horizontal offsets between tunnels,6
Ecklonia cava based mesoporous activated carbon for high-rate energy storage devices,2
Interfacial Engineering of a Heteroatom-Doped Graphene Layer on Patterned Aluminum Foil for Ultrafast Lithium Storage Kinetics,4
Abnormal Usage Sequence Detection for Identification of User Needs via Recurrent Neural Network Semantic Variational Autoencoder,14
Churros-like Polyvinylidene Fluoride Nanofibers for Enhancing Output Performance of Triboelectric Nanogenerators,4
Liquid metal embedded real time microfluidic flow pressure monitoring sensor,7
Alkaline aqueous organic redox flow batteries of high energy and power densities using mixed naphthoquinone derivatives,2
A modular A4 symmetric scotogenic model,12
Denitrification performance and microbial community variation during reverse osmosis concentrate treatment by sulfur denitrification process,1
Toward an integrative service design framework and future agendas,9
Effect of the air duct system of a simplified vehicle model on aerodynamic performance,5
Foreign object detection in actuating part of turnout using structural similarity index,12
"Advanced technologies in blockchain, machine learning, and big data",10
Analysing an effect of buffer capacity and periodic dirty buffer flush on data lifetime,12
Micro-extrusion for a gear shaft,7
Estimating dehalogenation reactivity of nanoscale zero-valent iron by simple colorimetric assay by way of 4-chlorophenol reduction,2
The Study on Manufacturing Process of Printable Temperature Distribution Measuring Sensor Using the Thermocouple Metal Paste,7
The Study on Simulation of Thermal-Mechanical Characteristics according to Structural Factors of EMC Filling via in the Multi-layered FOWLP,7
Automatic 2D floorplan CAD generation from 3D point clouds,13
"Correction: Kamruzzaman, M., et al. Evaluating the Impact of Climate Change on Paddy Water Balance Using APEX-Paddy Model [Water, 12, (2020) (852)] DOI: 10.3390/w12030852",12
Evaluating the impact of turbulence closure models on solute transport simulations in meandering open channels,3
Titanium dioxide nanoparticles dispersed in heteroatom-doped carbon nanofibers for ultrafast lithium storage,4
Safe and policy oriented secure android-based industrial embedded control system,10
Changes in climatic water availability and crop water demand for Iraq region,1
Assessing the effects of higher-education factors on the job satisfaction of engineering graduates in Korea,14
"Public acceptance of the ""renewable energy 3020 plan"": Evidence from a contingent valuation study in South Korea",12
End-to-end deep learning architecture for continuous blood pressure estimation using attention mechanism,14
A systems biological approach to understanding the mechanisms underlying the therapeutic potential of red ginseng supplements against metabolic diseases,11
Measurement and verification of integrated ground source heat pumps on a shared ground loop,9
Effects of irrigation with desalinated water on lettuce grown under greenhouse in South Korea,2
Public preference for increasing natural gas generation for reducing CO2 emissions in South Korea,9
Green pepper (Piper nigrum l.) extract suppresses oxidative stress and lps-induced inflammation via regulation of JNK signaling pathways,12
Design Principles for Improving Spatial Secrecy Performance in Random Access-Based Wireless Mutual Broadcast Networks,12
Rigorous co-registration of KOMPSAT-3 multispectral and panchromatic images for pan-sharpening image fusion,13
High-resolution neural network for driver visual attention prediction,13
"Analysis of the educational needs related to, and perceptions of the importance of, essential job competencies among science and engineering graduates",14
Tobacco etch virus (TEV) protease with multiple mutations to improve solubility and reduce self-cleavage exhibits enhanced enzymatic activity,11
Comparison of Rheological Characteristics and Mechanical Properties of Fossil-Based and Bio-Based Polycarbonate,11
Microwave combustion synthesis of tin oxide-decorated silica nanostructure using rice husk template for supercapacitor applications,2
Embodied and Operational CO2 Emissions of the Elementary School Buildings in Different Climate Zones,1
South Koreans perspective on assisting the power supply to North Korea: Evidence from a contingent valuation,5
"Eco-friendly synthesis of ZnO nanorods using Cycas pschannae plant extract with excellent photocatalytic, antioxidant, and anticancer nanomedicine for lung cancer treatment",11
Perovskite ceramic membrane separator with improved biofouling resistance for yeast-based microbial fuel cells,2
Analytical Study of Shear Buckling Behavior of Trapezoidal and Sinusoidal Corrugated Web Girders,6
Enhancing the total organic carbon measurement efficiency for water samples containing suspended solids using alkaline and ultrasonic pretreatment methods,2
Binary cuckoo search metaheuristic-based supercomputing framework for human behavior analysis in smart home,14
Adaptive resource management using many-core processing for fault tolerance based on cyber_hysical cloud systems,10
Insights from socio-hydrological modeling to design sustainable wastewater reuse strategies for agriculture at the watershed scale,1
A biocatalyst containing chitosan and embedded dye mediator adopted for promoting oxidation reactions and its utilization in biofuel cells,11
External benefits of increasing bioethanol consumption: a choice experiment study,9
Cation-Regulated Transformation for Continuous Two-Dimensional Tin Monosulfide,4
Inflow and outflow event mean concentration analysis of contaminants in bioretention facilities for non-point pollution management,1
Improved resistive switching behavior of multiwalled carbon nanotube/TiO2 nanorods composite film by increased oxygen vacancy reservoir,4
A theory for scotogenic dark matter stabilised by residual gauge symmetry,12
A benzyl carbazate-based fluorescent chemosensor for detecting Zn2+: Application to zebrafish,12
Effect of cell size on the performance and temperature distribution of molten carbonate fuel cells,4
Directional bending sensor based on triangular shaped fiber bragg gratings,7
Underdetermined blind source separation using normalized spatial covariance matrix and multichannel nonnegative matrix factorization,3
Adherence detector using canny edge detector,5
"Spectacle Korea: Transfiguring national boundaries, trans-imaging national culture in the case of the good, the bad, the weird",12
Analysis of springback characteristics of magnesium alloy sheet (AZ31B) considering time-dependence in warm bending,4
Property analysis of multi-material specimen based on ME type 3D printer,7
BLOCIS: Blockchain-based cyber threat intelligence sharing framework for sybil-resistance,10
Evaluating the impact of climate change on paddy water balance using APEX-paddy model,1
Decrepit building monitoring solution for zero energy building management using PLC and android application,9
Optically Transparent Wideband Dipole and Patch External Antennas Using Metal Mesh for UHD TV Applications,6
RF-DC conversion efficiency model for high-frequency diodes using DC-single tone approximation,5
Surface-modified industrial acrylonitrile butadiene styrene 3d scaffold fabrication by gold nanoparticle for drug screening,11
Comparative evaluation of lifetime of three-level inverters in grid-connected photovoltaic systems,5
Performance comparison of parallel ILU preconditioners for the incompressible Navier-Stokes equations,3
A Study on Transparent Electrode Properties of Indium Tin Oxide Thin Films Deposited From Recycled Target,4
Analysis of Electromagnetic Waves Attenuation for Underwater Localization in Structured Environments,6
Emotion-based painting image display system,14
Determination of Zinc Ion by a Quinoline-Based Fluorescence Chemosensor,12
Malware classification algorithm using advanced Word2vec-based Bi-LSTM for ground control stations,13
Enhanced Vertical Charge Transport of Homo- and Blended Semiconducting Polymers by Nanoconfinement,7
Hybrid Smart Fiber with Spontaneous Self-Charging Mechanism for Sustainable Wearable Electronics,7
Hylotelephium telephium Flower Extract-Mediated Biosynthesis of CuO and ZnO Nanoparticles with Promising Antioxidant and Antibacterial Properties for Healthcare Applications,4
Fatigue strength evaluation of self-piercing riveted joints of AZ31 Mg alloy and cold-rolled steel sheets,8
Introduction to the Special Section on Artificial Intelligence-based Information Security,12
4D printing using anisotropic thermal deformation of 3D-printed thermoplastic parts,7
Improved biofilm adhesion and electrochemical properties of a graphite-cement composite with silica nanoflowers versus two benchmark carbon felts,2
In situ generation of graphene network in silicon carbide fibers: Role of iodine and carbon monoxide,4
Effects of quorum quenching on temporal succession of activated sludge microbial community in a membrane bioreactor,1
Correlation of microstructure with tensile behavior and properties of API X70 pipeline steels subjected to strain aging,4
Development and optimization of the laser-assisted bonding process for a flip chip package,7
"Performance improvement by novel activation process effect of aqueous organic redox flow battery using Tiron and anthraquinone-2,7-disulfonic acid redox couple",2
Energy-efficient micromolding and in-mold compounding using ultrasonic vibration energy with enhanced material flow,7
The effect of a vitamin B12 based catalyst on hydrogen peroxide oxidation reactions and the performance evaluation of a membraneless hydrogen peroxide fuel cell under physiological pH conditions,2
Development and evaluation of data-driven modeling for bubble size in turbulent air-water bubbly flows using artificial multi-layer neural networks,3
Image reconstruction for rotational modulation collimator (RMC) using non local means (NLM) denoising filter,13
Estimation of level-I hidden liquidity using the dynamics of limit order-book,9
Atomic layer deposition of pure In2O3 films for a temperature range of 200300_ using heteroleptic liquid In(DMAMP)2(OiPr) precursor,4
A multi-level adaptive mesh refinement for an integrated finite element/level set formulation to simulate multiphase flows with surface tension,3
Magnetic Alignment of Polymer Nanodiscs Probed by Solid-State NMR Spectroscopy,0
"Effects of Molar Ratios of Two Immiscible Monomers toward Development of an Amphiphilic, Highly Stretchable, Bioadhesive, Self-Healing Copolymeric Hydrogel and its Mineral-Active Cellular Behavior",0
Performance improvement of the glucose oxidation reactions using methyl red mediator,2
Microfluidic assembly of mono-dispersed liposome and its surface modification for enhancing the colloidal stability,0
Study on allowable height of sleepers used in open-deck steel plate girders,8
Performance evaluation of spatial data management systems using geospark,3
Network analysis for concept representation in design activities,14
Listeners' boredom: How long can the voice information of a smart speaker be?,14
Towards the commercialization of colloidal quantum dot solar cells: Perspectives on device structures and manufacturing,9
An analysis of the factors on the problem-solving competencies of engineering employees in Korea,9
Analysis of urban flood inundation patterns according to rainfall intensity using a rainfall simulator in the Sadang area of South Korea,1
Effects of a greater incentive to attack the head and face region on incidence of head kicks and concussions among male youth taekwondo competitors,12
Forward current transport properties of AlGaN/GaN Schottky diodes prepared by atomic layer deposition,12
Copper-binding energetics of amicyanin in different folding states,11
Unequally Sub-Connected Architecture for Hybrid Beamforming in Massive MIMO Systems,6
Evaluation method of relative humidity changes in below-grade concrete structure space depending on different waterproofing material and installation method,8
Two-Step Plasma Treatment on Copper Surface for Low-Temperature Cu Thermo-Compression Bonding,7
Entropy-stabilized oxides owning fluorite structure obtained by hydrothermal treatment,4
Inhibitory effect of Centella asiatica extract on DNCB-induced atopic dermatitis in HaCaT cells and BALB/c mice,11
"Effect of nano-montmorillonite on osteoblast differentiation, mineral density, and osteoclast differentiation in bone formation",11
"Nanoemulsions as delivery systems for lipophilic nutraceuticals: strategies for improving their formulation, stability, functionality and bioavailability",12
Real-Time Control Algorithm for Hybrid System Using Gear Shift Map and Mode Conversion Map,5
Forced convection heat transfer for the fully-developed laminar flow of the cross fluid between parallel plates,3
A thiourea-naphthol based turn-on fluorescent sensor for detecting In3+ and its application,12
Task number maximization offloading strategy seamlessly adapted to UAV scenario,10
A Chromone-Based Fluorescent Chemosensor for Detecting Cu2+,12
Building occupants' psycho-physiological response to indoor climate and CO2 concentration changes in office buildings,14
Heat transfer enhancement by a wall-mounted flexible vortex generator with an inclination angle,5
Open innovation at the national level: Towards a global innovation system,9
"Corrigendum to _ow climate scenarios alter future predictions of field-scale water and nitrogen dynamics and crop yields (Journal of Environmental Management (2019) 252, (S0301479719313416), (10.1016/j.jenvman.2019.109623))",1
Interactions of Cinnamycin-Immobilized Gold Nanorods with Biomimetic Membranes,0
Multifunctional periodic mesoporous benzene-silicas for evaluation of CO2 adsorption at standard temperature and pressure,2
Using EEM-PARAFAC to probe NF membrane fouling potential of stabilized landfill leachate pretreated by various options,2
Combined Inter-layer FEC and Hierarchical QAM for Stereoscopic 3D Video Transmission,3
Atomic layer deposited YSZ overlayer on Ru for direct methane utilization in solid oxide fuel cell,4
Role of block copolymer template for tailoring crystal structure and band gap of titania in mesoporous silica and organosilica particles,2
"Dual catalytic functions of biomimetic, atomically dispersed iron-nitrogen doped carbon catalysts for efficient enzymatic biofuel cells",2
Quorum sensing and quorum quenching in membrane bioreactors,12
Visible and IR transparent Co-doped SnO2 thin films with efficient electromagnetic shielding performance,12
"Socio-economic factors affecting trust in the military: Comparatives on perspectives on China, Japan, and South Korea",9
The homogeneity of multi-textured micro-pattern arrays in a laser shock surface patterning process and its effect on the surface properties of aluminum alloy,7
Superparamagnetic NiO-doped mesoporous silica flower-like microspheres with high nickel content,2
Molecularly Imprinted Polyaniline Nanowire-Based Electrochemical Biosensor for Chloramphenicol Detection: A Kinetic Study of Aniline Electropolymerization,4
Simultaneous Detection of Cu2+ and Co2+ by a Water-Soluble Carboxamide-Based Colorimetric Chemosensor,12
"Wafer-Scale, Conformal, and Low-Temperature Synthesis of Layered Tin Disulfides for Emerging Nonplanar and Flexible Electronics",7
A combined network control approach for the edge cloud and LPWAN-based IoT services,10
The Effects of Managers Purposeful Performance Information Use on American Hospital Performance,9
Unsupervised moving object detection through background models for PTZ camera,13
Epipolar resampling module for CAS500 satellites 3D stereo data processing,12
Experimental study on long-term behavior of RC columns subjected to sustained eccentric load,8
Model predictive control of the AC voltage of an electric-vehicle charging station with ESS,5
Predicting patent transactions using patent-based machine learning techniques,14
Deep learning-based microRNA target prediction using experimental negative data,3
New insights into the real-time performance of a multicore processor,10
Generating images in compressed domain using generative adversarial networks,13
Dynamic modelling and experimental results of a ray-type hybrid underwater glider with a dualbuoyancy engine,2
Investigation of the functional characteristics of injection molds with conformal cooling channels,7
Autonomous driving system design of solar panel cleaning robot using vacuum adsorption mechanism,5
Study on wind characteristics of electric fan via the case study of a dual-structured wing fan,6
A numerical study on the effect of a vertical fence with porosity on the reduction of wind speed,5
"Algorithms, Processes, and Services for Future ICT",3
Characterization of indoor and outdoor exposure level to hazardous air pollutants at various living environments by canister sampling,12
Fabrication of electrically conductive patterns on abs polymer using low-pressure cold spray and electroless plating,7
Simulation and characterization of cold spray deposition of metal powders on polymer substrate electrically conductive application,7
Quantum Communication Technology for Future ICT - Review,10
Extrinsic calibration of a camera and a 2D lidar using a dummy camera with IR cut filter removed,13
Ramanujan's function k () = r () r2(2 ) and its modularity,12
Biases in Integer Partitions,12
A compact flexible frequency reconfigurable antenna for heterogeneous applications,6
"Enhanced Machine Learning Algorithms: Deep Learning, Reinforcement Learning, and Q-Learning",14
Environmental applications of fine bubble generating apparatus with low energy and high treatment efficiency,2
Improving the performance of rlizard on memory-constraint iot devices with 8-bit atmega mcu,10
Confidence-Aware learning for deep neural networks,3
Challenges in water resources of lagos mega city of nigeria in the context of climate change,1
Binary particle acoustophoresis separation based on nodal position adjustment through PDMS wall,6
The Relationship between the Personality Changes and Costume Colors of Characters in Disney Animations and Live Action Films,14
A Heterocyclic-based Bifunctional Sensor for Detecting Cobalt and Zinc Ion,12
A Study on the Digital Forensic Investigation Method of Clever Malware in IoT Devices,12
Hedge algebras-based admittance controller for safe natural human_obot interaction,3
Implementation of an in vitro exposure system for 28 GHz,6
New RNN Activation Technique for Deeper Networks: LSTCM Cells,3
Wider-Bandwidth Operation of IEEE 802.11 for Extremely High Throughput: Challenges and Solutions for Flexible Puncturing,10
Biomimetic Flow Sensor for Detecting Flow Rate and Direction as an Application for Maneuvering Autonomous Underwater Vehicle,13
The Effect of Private Customer-Manager Social Engagement Upon Online Booking Behavior,9
A Quadratic Programming-Based Power Dispatch Method for a DC-Microgrid,5
Study on numerical oscillations of forming load occurring in forward open cold extrusion,7
Similarity ranking technique exploiting the structure of similarity relationships,14
Application of artificial neural network to multi-variables regression for estimations of j-integral for surface cracked pipes,8
"Investigating structural response of pressure reducing valve of supercritical steam generator system under cyclic moments, thermal transient, and pressure loadings",8
"Correction to: Design and controller development of drone capable of landing, takeoff, and travelling on a vertical wall (Journal of Institute of Control, Robotics and Systems, (2019) 25, 12, (1077-1084), 10.5302/J.ICROS.2019.19.0177)",12
Foreground Objects Detection Using a Fully Convolutional Network with a Background Model Image and Multiple Original Images,13
Detection of korea license plate by mask r-cnn using composite image,13
Foreign bank_ acquisition strategy and the business approach of domestic bank: A case of standard chartered bank,9
Effects of adding niobium and vanadium to fe-based oxide dispersion strengthened alloy,4
Post-quantum blockchain for a scalable smart city,10
Fabrication of molybdenum alloy with distributed high-entropy alloy via pressureless sintering,4
Roadmapping for Data: Concept and Typology of Data-Integrated Smart-Service Roadmaps,14
Real-Time Characteristics of ROS 2.0 in Multiagent Robot Systems: An Empirical Study,3
A short review on predictions for wind power generation  its limitation and future directions,9
Block5GIntell: Blockchain for AI-Enabled 5G Networks,10
Trustful Resource Management for Service Allocation in Fog-Enabled Intelligent Transportation Systems,10
Fast measurement of eyebox and field of view (Fov) of virtual and augmented reality devices using the ray trajectories extending from positions on virtual image,6
Dynamic Early Dirty Buffer Flush to Reduce Miss Penalty in Solid-State Drives,10
Facile Airbrush Fabrication of Gas Diffusion Layers Comprising Fine-Patterned Hydrophobic Double-Layer and Hydrophilic Channel for Improved Water Removal in Polymer Electrolyte Membrane Fuel Cells,7
Enhanced Solubility of the Support in an FDM-Based 3D Printed Structure Using Hydrogen Peroxide under Ultrasonication,7
An application of design of experiments for optimization of mof-235 synthesis for acetylene adsorption process,2
An Implantable Neural Stimulator IC with Anodic Current Pulse Modulation Based Active Charge Balancing,5
"Predicting PBT and CMR properties of substances of very high concern (SVHCs) using QSAR models, and application for K-REACH",11
Does online political participation reinforce offline political participation?: Using instrumental variable,9
Effect of post-processing heat treatment on microstructure evolution and mechanical properties of in-situ Al/(Al3Ni-TiC) hybrid composite fabricated by friction stir processing using mechanically activated powders,4
Electrochemical deposition of polypyrrole nanostructures for energy applications: A review,4
Effect of motion cues on simulator sickness in a flight simulator,14
Urban building change detection using ndsm and road extraction,13
Sub-1 min Sinter-Bonding Technique in Air Using Modified Cu Dendritic Particles for Formation of a High-Temperature Sustainable Bondline,12
Prosumer Energy Management Considering Contract with Consumers under Progressive Pricing Policy,9
Structure and in vitro digestion of amylosucrase-modified waxy corn starch as affected by iterative retrogradation,4
Robust adaptive depth control of hybrid underwater glider in vertical plane,5
"Correction to: Versatile biotechnological applications of amylosucrase, a novel glucosyltransferase (Food Science and Biotechnology, (2020), 29, 1, (1-16), 10.1007/s10068-019-00686-6)",4
"Correction to: Effect of wheat germ on metabolic markers: a systematic review and meta-analysis of randomized controlled trials (Food Science and Biotechnology, (2020), 29, 6, (739-749), 10.1007/s10068-020-00769-9)",12
"Correction to: Nanoemulsions as delivery systems for lipophilic nutraceuticals: strategies for improving their formulation, stability, functionality and bioavailability (Food Science and Biotechnology, (2020), 29, 2, (149-168), 10.1007/s10068-019-00731-4)",4
Additive Ensemble Neural Networks,3
Tunable ternary doping effect of protein-based carbon derived from tofu for energy storage devices,2
SWC_ A study on the economic analysis of zero energy building using solar photovoltaic energy in Korea,9
Effect of austempering time on the microstructure and mechanical properties of ultra-high strength nanostructured bainitic steels,4
Airborne levels of lung carcinogens at an ascon manufacturing site,9
The relationship between fiscal decentralization and trust in government: evidence from the South Korean case,9
Analysis of the envelope correlation coefficient of MIMO antennas connected with suspended lines,6
Analysis of impact position based on deep learning CNN algorithm,3
A study of precision train control improvement according to the revised algorithm of speed and travel distance calculation,5
Dynamic charge carrier transport behaviors in zirconium oxide for nuclear cladding materials,4
Effect of pyrolysis conditions on the physicochemical properties of graphitic carbon nitride for visible-light-driven photocatalytic degradation,4
Die attachment method on a Cu finish by pressure-assisted sinter bonding in air using Cu formate paste,4
Dilatometric analysis of the sintering behavior of Bi2Te3 thermoelectric powders,4
Electrical characteristics of tin oxide films grown by thermal atomic layer deposition,4
How to determine a minimum viable product in app-based lean start-ups: Kano-based approach,9
An exact voltage-power equation with no angle terms for an AC two-bus system,5
Study on Effect of Installation Location on Lifetime of PV Inverter and DC-to-AC Ratio,5
Design of an external gravity compensator for a tendon-based serial mechanism,3
Development of ballbot lqr control system,5
Online data-driven energy management of a hybrid electric vehicle using model-based Q-learning,5
"Security, privacy, and efficiency of sustainable computing for future smart cities",10
The differential effects of governmental direct and indirect subsidies on healthcare organization_ profitability in south korea,12
"Variations of mechanical properties and texture analysis with annealing conditions of aluminum 5182, 5052 and 3003 alloys sheets",4
Effect of intercritical annealing on microstructure and mechanical properties of Fe-9Mn-0.2C-3Al-0.5Si medium manganese steels containing Cu and Ni,4
Synthesis of TiO2 composited nitrogen-doped carbon supports for high-performance methanol oxidation activity,2
Effect of heat treatment on microstructure and mechanical properties of an Fe-6.5Mn-0.08C medium-manganese steel,8
Enhancement of structural and mechanical properties of Fe + 0.5 % C steel powder alloy via incorporation of Ni and Co nanoparticles,4
Learning-Aided Deep Path Prediction for Sphere Decoding in Large MIMO Systems,3
Application of statistical design of experiments in the field of chemical engineering: A bibliographical review,5
Cassia tora Seed Improves Pancreatic Mitochondrial Function Leading to Recovery of Glucose Metabolism,11
Low-Complexity Incremental Search-Aided Hybrid Precoding and Combining for Massive MIMO Systems,3
Managerial ability and tax planning: Trade-off between tax and nontax costs,9
Wearable Computing for Defence Automation: Opportunities and Challenges in 5G Network,14
Effects of Textile Weaving and Finishing Processes on Textile-Based Wearable Patch Antennas,6
A New Splitting Criterion for Better Interpretable Trees,3
Single-switch high step-up dc-dc converter with a resonant voltage doubler and low duty ratio,5
An accurate weight binarization method for a CNN object detector using double scaling factors,13
Influence of the source of intention to move on readiness potential of brain waves,14
Overall Torque Ripple Reduction by Constant Band Hysteresis Current Controller with Back EMF Phase Shift Error Compensator in BLDC Motor Drive,5
An on-demand scrubbing solution for read disturbance error in phase-change memory,4
Transient Liquid Phase Bonding Process Using Sn-coated Cu Dendritic Particles,12
Design process of square column-shaped voice coil motor for magnetic levitation stage,5
Shift-And-Decorrelate Lifting: CAMRA for Lossless Intra Frame CFA Video Compression,13
Determination and daily intake estimation of lignans in sesame seeds and sesame oil products in Korea,11
Adaptive transmission repetition and combining in bistatic WiFi backscatter communications,3
A study on evaluation measures for unsupervised outlier detection,12
Stochastic computing based AI system for mobile devices,3
Reinforcement Learning Based Interference Control Scheme in Heterogeneous Networks,3
Quality characteristics of beer with pine bark extract,11
Redundancy Analysis and Elimination on Access Patterns of the Windows Applications Based on I/O Log Data,3
A non-intrusive speech intelligibility estimation method based on deep learning using autoencoder features,3
Estimation of States and Parameters with Dual Extended Kalman Filters for Active Roll Control,5
Relationships of physical activity with the transtheoretical model constructs among Korean adults,14
Separate track impact factor application depending on track types through correlative analysis with track support stiffness,5
Evaluation of Section Speed Enforcement System Using Empirical Bayes Approach and Turning Point Analysis,5
Motion planning of robot manipulators for a smoother path using a twin delayed deep deterministic policy gradient with hindsight experience replay,3
Interfacial and electrical properties of nanolaminated HfO2/Al2O3 dielectrics on GaN with an AlN interlayer,4
Study on evaluation method of flow characteristics in steady flow bench(7) - Torque distribution along radial direction(1),5
Fluid Permeability of Ground Steel Slag-Blended Composites Evaluated by Pore Structure,2
Secure secondary authentication framework for efficient mutual authentication on a 5g data network,10
A Robust Frequency-Adaptive Current Control of a Grid-Connected Inverter Based on LMI-LQR under Polytopic Uncertainties,5
Cloud services and pricing strategies for sustainable business models: Analytical and numerical approaches,9
An improved power management strategy for MAS-Based distributed control of DC microgrid under communication network problems,5
Staircase echo-channel acoustofluidic device for cell position control,6
Modeling and simulation of collision-causing derailment to design the derailment containment provision using a simplified vehicle model,5
Secure D2D communication for 5G IoT network based on lightweight cryptography,10
Interaction of genetic background and exercise training intensity on endothelial function in mouse aorta,11
MPC-Based Power Management of Renewable Generation Using Multi-ESS Guaranteeing SoC Constraints and Balancing,5
Effect of Ag Concentration Dispersed in HfOx Thin Films on Threshold Switching,4
Groupwise neighbor examination for tabu search detection in large MIMO systems,3
Influence of patriarchal sex-role attitudes on perpetration of dating violence,12
Size dependency of a ZnO nanorod-based piezoelectric nanogenerator evaluated by conductive atomic force microscopy,7
